floor,image,room,room o,view,points
1,2,5,5,"N1,W1","101,88 336,90 338,251 102,252"
1,2,6,6,N1,"337,91 653,92 656,256 338,255"
1,2,1,1,"N1,E1","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
1,2,4,4,"S1,W1","100,291 338,293 337,456 102,456"
1,2,3,3,S1,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
1,2,2,2,"S1,E1","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
2,2,5,5,"N2,W2","101,88 336,90 338,251 102,252"
2,2,6,6,N2,"337,91 653,92 656,256 338,255"
2,2,1,1,"N2,E2","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
2,2,4,4,"S2,W2","100,291 338,293 337,456 102,456"
2,2,3,3,S2,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
2,2,2,2,"S2,E2","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
3,1,5,5,"N3,W3","101,88 336,90 338,251 102,252"
3,1,6,6,N3,"337,91 653,92 656,256 338,255"
3,1,1,1,"N3,E3","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
3,1,4,4,"S3,W3","100,291 338,293 337,456 102,456"
3,1,3,3,S3,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
3,1,2,2,"S3,E3","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
4,1,5,5,"N4,W4","101,88 336,90 338,251 102,252"
4,1,6,6,N4,"337,91 653,92 656,256 338,255"
4,1,1,1,"N4,E4","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
4,1,4,4,"S4,W4","100,291 338,293 337,456 102,456"
4,1,3,3,S4,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
4,1,2,2,"S4,E4","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
5,1,5,5,"N5,W5","101,88 336,90 338,251 102,252"
5,1,6,6,N5,"337,91 653,92 656,256 338,255"
5,1,1,1,"N5,E5","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
5,1,4,4,"S5,W5","100,291 338,293 337,456 102,456"
5,1,3,3,S5,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
5,1,2,2,"S5,E5","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
6,6,6,6,N6,"337,91 653,92 656,256 338,255"
6,6,1,1,"N6,E6","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
6,6,3,3,S6,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
6,6,2,2,"S6,E6","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
7,1,5,5,"N7,W7","101,88 336,90 338,251 102,252"
7,1,6,6,N7,"337,91 653,92 656,256 338,255"
7,1,1,1,"N7,E7","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
7,1,4,4,"S7,W7","100,291 338,293 337,456 102,456"
7,1,3,3,S7,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
7,1,2,2,"S7,E7","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
8,1,5,5,"N8,W8","101,88 336,90 338,251 102,252"
8,1,6,6,N8,"337,91 653,92 656,256 338,255"
8,1,1,1,"N8,E8","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
8,1,4,4,"S8,W8","100,291 338,293 337,456 102,456"
8,1,3,3,S8,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
8,1,2,2,"S8,E8","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
9,1,5,5,"N9,W9","101,88 336,90 338,251 102,252"
9,1,6,6,N9,"337,91 653,92 656,256 338,255"
9,1,1,1,"N9,E9","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
9,1,4,4,"S9,W9","100,291 338,293 337,456 102,456"
9,1,3,3,S9,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
9,1,2,2,"S9,E9","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
10,1,5,5,"N10,W10","101,88 336,90 338,251 102,252"
10,1,6,6,N10,"337,91 653,92 656,256 338,255"
10,1,1,1,"N10,E10","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
10,1,4,4,"S10,W10","100,291 338,293 337,456 102,456"
10,1,3,3,S10,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
10,1,2,2,"S10,E10","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
11,1,5,5,"N11,W11","101,88 336,90 338,251 102,252"
11,1,6,6,N11,"337,91 653,92 656,256 338,255"
11,1,1,1,"N11,E11","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
11,1,4,4,"S11,W11","100,291 338,293 337,456 102,456"
11,1,3,3,S11,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
11,1,2,2,"S11,E11","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
12,1,5,5,"N12,W12","101,88 336,90 338,251 102,252"
12,1,6,6,N12,"337,91 653,92 656,256 338,255"
12,1,1,1,"N12,E12","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
12,1,4,4,"S12,W12","100,291 338,293 337,456 102,456"
12,1,3,3,S12,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
12,1,2,2,"S12,E12","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
13,1,5,5,"N13,W13","101,88 336,90 338,251 102,252"
13,1,6,6,N13,"337,91 653,92 656,256 338,255"
13,1,1,1,"N13,E13","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
13,1,4,4,"S13,W13","100,291 338,293 337,456 102,456"
13,1,3,3,S13,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
13,1,2,2,"S13,E13","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
14,1,5,5,"N14,W14","101,88 336,90 338,251 102,252"
14,1,6,6,N14,"337,91 653,92 656,256 338,255"
14,1,1,1,"N14,E14","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
14,1,4,4,"S14,W14","100,291 338,293 337,456 102,456"
14,1,3,3,S14,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
14,1,2,2,"S14,E14","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
15,1,5,5,"N15,W15","101,88 336,90 338,251 102,252"
15,1,6,6,N15,"337,91 653,92 656,256 338,255"
15,1,1,1,"N15,E15","988,271 651,274 653,88 880,90 889,95 898,106 904,114"
15,1,4,4,"S15,W15","100,291 338,293 337,456 102,456"
15,1,3,3,S15,"597,473 361,470 360,296 624,299 618,360 677,362 676,474"
15,1,2,2,"S15,E15","1019,473 940,472 703,469 702,295 1002,296 1072,430 1075,449 1071,462 1051,468"
16,15,,,,
17,16,,,,